id,objectid,id_dto.x,nombre,tipo,estrategia,politica,lineas_acc,zn_fun_mic,pn_pol_rie,sup_ha,ID.PROYECTO,NOMBRE.PROYECTO,DESCRIPCIÓN.GENERAL,id_dto.y,RESPONSABLE.MUNICIPAL,INSTANCIAS.COORDINACION.ESTATAL,INSTANCIAS.COORDINACION.FEDERAL,SUBSISTEMA
11,11,DR-66,Capula,Rural,Gestión ambiental,Mejoramiento integral,"LA-GU-MEJ-01, LA-GU-MEJ-02, LA-GU-MEJ-03, LA-GU-MEJ-04, LA-GU-MEJ-05, LA-GU-MEJ-06, LA-GU-MEJ-07, LA-GU-MEJ-08,LA-GU-MEJ-09, LA-GU-MEJ-10, LA-GU-MEJ-11, LA-GU-MEJ-12, LA-GU-MEJ-13, LA-GU-MEJ-14, LA-GU-MEJ-15, LA-GU-MEJ-16, LA-GU-MEJ-17",Descarga,Adaptación,196.547,PY_EQ_URB_40,San Miguel del Monte,Equipamiento recreativo y cultural,DR-66,Secretaría de Bienestar y Política Social,"Secretaría de Medio Ambiente, Cambio Climático y Desarrollo Territorial (SEMACCDET)","Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU)",Equipamiento urbano
11,11,DR-66,Capula,Rural,Gestión ambiental,Mejoramiento integral,"LA-GU-MEJ-01, LA-GU-MEJ-02, LA-GU-MEJ-03, LA-GU-MEJ-04, LA-GU-MEJ-05, LA-GU-MEJ-06, LA-GU-MEJ-07, LA-GU-MEJ-08,LA-GU-MEJ-09, LA-GU-MEJ-10, LA-GU-MEJ-11, LA-GU-MEJ-12, LA-GU-MEJ-13, LA-GU-MEJ-14, LA-GU-MEJ-15, LA-GU-MEJ-16, LA-GU-MEJ-17",Descarga,Adaptación,196.547,PY_EQ_URB_40,San Miguel del Monte,Reacondicionamiento de casa ejidal,DR-66,Secretaría de Bienestar y Política Social,"Secretaría de Medio Ambiente, Cambio Climático y Desarrollo Territorial (SEMACCDET)","Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU)",Equipamiento urbano
11,11,DR-66,Capula,Rural,Gestión ambiental,Mejoramiento integral,"LA-GU-MEJ-01, LA-GU-MEJ-02, LA-GU-MEJ-03, LA-GU-MEJ-04, LA-GU-MEJ-05, LA-GU-MEJ-06, LA-GU-MEJ-07, LA-GU-MEJ-08,LA-GU-MEJ-09, LA-GU-MEJ-10, LA-GU-MEJ-11, LA-GU-MEJ-12, LA-GU-MEJ-13, LA-GU-MEJ-14, LA-GU-MEJ-15, LA-GU-MEJ-16, LA-GU-MEJ-17",Descarga,Adaptación,196.547,PY_EQ_URB_40,San Miguel del Monte,Infraestructura deportiva. ,DR-66,Secretaría de Bienestar y Política Social,"Secretaría de Medio Ambiente, Cambio Climático y Desarrollo Territorial (SEMACCDET)","Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU)",Equipamiento urbano
11,11,DR-66,Capula,Rural,Gestión ambiental,Mejoramiento integral,"LA-GU-MEJ-01, LA-GU-MEJ-02, LA-GU-MEJ-03, LA-GU-MEJ-04, LA-GU-MEJ-05, LA-GU-MEJ-06, LA-GU-MEJ-07, LA-GU-MEJ-08,LA-GU-MEJ-09, LA-GU-MEJ-10, LA-GU-MEJ-11, LA-GU-MEJ-12, LA-GU-MEJ-13, LA-GU-MEJ-14, LA-GU-MEJ-15, LA-GU-MEJ-16, LA-GU-MEJ-17",Descarga,Adaptación,196.547,PY_EQ_URB_41,San Nicolás Obispo,Centro de asistencia social.,DR-66,Secretaría de Urbanismo y Obras Públicas (SUOP),"Secretaría de Medio Ambiente, Cambio Climático y Desarrollo Territorial (SEMACCDET)","Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU)",Equipamiento urbano
11,11,DR-66,Capula,Rural,Gestión ambiental,Mejoramiento integral,"LA-GU-MEJ-01, LA-GU-MEJ-02, LA-GU-MEJ-03, LA-GU-MEJ-04, LA-GU-MEJ-05, LA-GU-MEJ-06, LA-GU-MEJ-07, LA-GU-MEJ-08,LA-GU-MEJ-09, LA-GU-MEJ-10, LA-GU-MEJ-11, LA-GU-MEJ-12, LA-GU-MEJ-13, LA-GU-MEJ-14, LA-GU-MEJ-15, LA-GU-MEJ-16, LA-GU-MEJ-17",Descarga,Adaptación,196.547,PY_EQ_URB_41,San Nicolás Obispo,"Edificacion para el acopio, intercambio y distribución de servicios.",DR-66,Secretaría de Bienestar y Política Social,"Secretaría de Medio Ambiente, Cambio Climático y Desarrollo Territorial (SEMACCDET)","Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU)",Equipamiento urbano
11,11,DR-66,Capula,Rural,Gestión ambiental,Mejoramiento integral,"LA-GU-MEJ-01, LA-GU-MEJ-02, LA-GU-MEJ-03, LA-GU-MEJ-04, LA-GU-MEJ-05, LA-GU-MEJ-06, LA-GU-MEJ-07, LA-GU-MEJ-08,LA-GU-MEJ-09, LA-GU-MEJ-10, LA-GU-MEJ-11, LA-GU-MEJ-12, LA-GU-MEJ-13, LA-GU-MEJ-14, LA-GU-MEJ-15, LA-GU-MEJ-16, LA-GU-MEJ-17",Descarga,Adaptación,196.547,PY_EQ_URB_41,San Nicolás Obispo,Equipamiento recreativo y cultural.,DR-66,Secretaría de Bienestar y Política Social,"Secretaría de Medio Ambiente, Cambio Climático y Desarrollo Territorial (SEMACCDET)","Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU)",Equipamiento urbano
11,11,DR-66,Capula,Rural,Gestión ambiental,Mejoramiento integral,"LA-GU-MEJ-01, LA-GU-MEJ-02, LA-GU-MEJ-03, LA-GU-MEJ-04, LA-GU-MEJ-05, LA-GU-MEJ-06, LA-GU-MEJ-07, LA-GU-MEJ-08,LA-GU-MEJ-09, LA-GU-MEJ-10, LA-GU-MEJ-11, LA-GU-MEJ-12, LA-GU-MEJ-13, LA-GU-MEJ-14, LA-GU-MEJ-15, LA-GU-MEJ-16, LA-GU-MEJ-17",Descarga,Adaptación,196.547,PY_EQ_URB_41,San Nicolás Obispo,Edificacion para la seguridad  publica,DR-66,Secretaría de Bienestar y Política Social,"Secretaría de Medio Ambiente, Cambio Climático y Desarrollo Territorial (SEMACCDET)","Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU)",Equipamiento urbano
11,11,DR-66,Capula,Rural,Gestión ambiental,Mejoramiento integral,"LA-GU-MEJ-01, LA-GU-MEJ-02, LA-GU-MEJ-03, LA-GU-MEJ-04, LA-GU-MEJ-05, LA-GU-MEJ-06, LA-GU-MEJ-07, LA-GU-MEJ-08,LA-GU-MEJ-09, LA-GU-MEJ-10, LA-GU-MEJ-11, LA-GU-MEJ-12, LA-GU-MEJ-13, LA-GU-MEJ-14, LA-GU-MEJ-15, LA-GU-MEJ-16, LA-GU-MEJ-17",Descarga,Adaptación,196.547,PY_EQ_URB_41,San Nicolás Obispo,Equipamiento educativo,DR-66,Secretaría de Bienestar y Política Social,"Secretaría de Medio Ambiente, Cambio Climático y Desarrollo Territorial (SEMACCDET)","Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU)",Equipamiento urbano
11,11,DR-66,Capula,Rural,Gestión ambiental,Mejoramiento integral,"LA-GU-MEJ-01, LA-GU-MEJ-02, LA-GU-MEJ-03, LA-GU-MEJ-04, LA-GU-MEJ-05, LA-GU-MEJ-06, LA-GU-MEJ-07, LA-GU-MEJ-08,LA-GU-MEJ-09, LA-GU-MEJ-10, LA-GU-MEJ-11, LA-GU-MEJ-12, LA-GU-MEJ-13, LA-GU-MEJ-14, LA-GU-MEJ-15, LA-GU-MEJ-16, LA-GU-MEJ-17",Descarga,Adaptación,196.547,PY_SAPS_07,Construcción del humedal para el tratamiento del agua residual de la Tenencia de Capula.,Construcción de PTAR para 15 lps. ,DR-66,"Organismo Operador de Agua Potable, Alcantarillado y Saneamiento (OOAPAS) de Morelia",Comisión Estatal del Agua y Gestión de Cuencas,Comisión Nacional del Agua (CANAGUA),Agua Potable y Saneamiento
105,105,DU-NE-21,LA UNIÓN,Urbano,Gestión urbana,Mejoramiento integral,"LA-GU-MEJ-02, LA-GU-MEJ-03, LA-GU-MEJ-05, LA-GU-MEJ-06, LA-GU-MEJ-07,LA-GU-MEJ-09, LA-GU-MEJ-12, LA-GU-MEJ-13, LA-GU-MEJ-14, LA-GU-MEJ-15",Descarga,Adaptación,185.179,PY_EQ_URB_18,Puerta Libertadores,"Revitalizar la intersección Periférico y Av. Madero Ote. con elementos de accesibilidad universal, transferencia modal, mezcal de usos, e impulso de la densificación.",DU-NE-21,Secretaría de Movilidad y Espacio Público (SEMOVEP),"Secretaría de Medio Ambiente, Cambio Climático y Desarrollo Territorial (SEMACCDET)","Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU)",Equipamiento urbano
